id;name;description;source_ids;customer_type;score_minimum;created_by;date_created;authoriseBy_by;date_authoriseBy
1;National;hacking cultivate;Personal Saint data-warehouse;streamline;91508;Streets Senior Gold;seamless Corporate Pound;Plastic;Cotton
2;Regional Directives;card Open-source national;bypassing deposit lavender;Customer;76187;foreground sensor;Chief;Platinum Officer;Customer-focused bandwidth-monitored auxiliary
3;stable well-modulated;Boliviano Credit Bacon;Loan white;Wyoming;39264;Investment Cliffs;website;extend Summit Washington;Buckinghamshire Shoes
4;Yemen;Gloves Cambridgeshire haptic;payment paradigms Engineer;withdrawal digital;29397;Handcrafted;engage;Assistant Infrastructure;action-items IB Cambridgeshire
5;reintermediate salmon Expanded;primary transparent Small;withdrawal;Vermont;83268;Factors redefine Gorgeous;Chile recontextualize;Bedfordshire Personal Brand;digital Card Shirt
6;Avon Granite;Berkshire Branding;Yuan maroon;Internal application Refined;3042;integrated Books;Finland;Direct;users EXE Generic
7;toolset Technician;Account Sleek International;synthesizing;Function-based tan;46001;Investment;Division North interface;client-driven Generic one-to-one;help-desk regional
8;dynamic India;yellow;Response;Ergonomic protocol administration;42717;States efficient;JBOD;Generic global Rubber;mobile Automotive
9;redundant Interactions Clothing;Fantastic haptic;XSS TCP Self-enabling;Customer-focused redundant;61808;capacitor;Cambridgeshire Forward schemas;Intranet hierarchy matrix;Oklahoma Wooden
10;EXE;Planner connecting;e-business;USB Home;32147;supply-chains Buckinghamshire;Personal Profound;Garden;encryption hack
