id;name;description;black_list_flds;customer_flds;weight_point;rule_id;created_by;date_created;authoriseBy_by;date_authoriseBy
1;Sausages Internal;Savings;Macedonia;enable Developer Switchable;56946;19678;turquoise Computers scale;parsing efficient;National indexing;generate hack
2;Rubber;Pants Personal;Administrator Factors;Unit Berkshire Infrastructure;27129;84222;Route;Avon enterprise;Pizza;Steel Principal Germany
3;Sausages executive;supply-chains;Director invoice bluetooth;online Bike;17784;42610;Steel;Berkshire;Producer quantifying;Future collaboration
4;Sausages;connecting reboot;Iowa panel;Robust invoice Cheese;87840;60523;bottom-line Vision-oriented;Games Club Bulgarian;card application Dynamic;Movies
5;transparent;Mobility bypass Books;Practical Bedfordshire Gorgeous;bypass De-engineered;97326;55528;hierarchy;facilitate bypassing Wooden;indexing client-server wireless;Practical New next
6;Brand;connect multi-byte;scalable quantify Gibraltar;Rupee TCP;86280;52652;Liberia;Electronics IB impactful;Account Texas implement;customized middleware
7;programming Infrastructure District;Ways;Soft payment auxiliary;purple;38795;33237;Franc Savings JBOD;framework object-oriented;Cambridgeshire;Square website Azerbaijanian
8;Republic Soap Credit;Agent;Buckinghamshire;generation Operative bluetooth;59906;85732;Investment Utah;multi-byte plum;connect;Incredible Optional olive
9;Sleek background compress;TCP Ergonomic;value-added Berkshire Awesome;Data;5446;69821;withdrawal;Rial;revolutionize payment;withdrawal
10;Orchestrator Cambridgeshire Garden;Organized;sensor responsive Keyboard;Pennsylvania;29603;6124;bypass invoice;Tasty index Personal;Gorgeous;indexing deposit Sports
